LAC,CI,LAC-CI,latitude,longtitude
10013,18018,10013-18018,23.2063,113.23144
10013,18021,10013-18021,23.2063,113.23144
10013,18022,10013-18022,23.2063,113.23144
10013,18023,10013-18023,23.2063,113.23144
10013,18707,10013-18707,23.20825,113.22677
10013,18708,10013-18708,23.20825,113.22677
10013,18709,10013-18709,23.20825,113.22677
10013,18711,10013-18711,23.20825,113.22677
10013,18712,10013-18712,23.20825,113.22677
10013,18713,10013-18713,23.20825,113.22677
10013,19391,10013-19391,23.24044,113.20426
10013,19393,10013-19393,23.24044,113.20426
10013,19521,10013-19521,23.21977,113.22781
10013,20997,10013-20997,23.21977,113.22781
10013,20998,10013-20998,23.21977,113.22781
10013,23037,10013-23037,23.23677,113.18579
10013,23038,10013-23038,23.23677,113.18579
10013,24294,10013-24294,23.2216,113.20188
10013,24295,10013-24295,23.2216,113.20188
10013,25111,10013-25111,23.21452,113.20702
10013,25112,10013-25112,23.21452,113.20702
10013,25113,10013-25113,23.21452,113.20702
10013,25151,10013-25151,23.20905,113.2201
10013,25152,10013-25152,23.20905,113.2201
10013,25153,10013-25153,23.20905,113.2201
10013,25154,10013-25154,23.20905,113.2201
10013,25155,10013-25155,23.20905,113.2201
10013,25156,10013-25156,23.20905,113.2201
10013,25747,10013-25747,23.20634,113.20305
10013,26064,10013-26064,23.20333,113.22886
10013,26065,10013-26065,23.20333,113.22886
10013,26066,10013-26066,23.20333,113.22886
10013,28671,10013-28671,23.22554,113.21238
10013,28672,10013-28672,23.22554,113.21238
10013,28673,10013-28673,23.22554,113.21238
10013,29057,10013-29057,23.21999,113.21749
10013,29058,10013-29058,23.21999,113.21749
10013,29059,10013-29059,23.21999,113.21749
10013,29097,10013-29097,23.23417,113.19252
10013,29207,10013-29207,23.2216,113.20188
10013,29247,10013-29247,23.21999,113.21749
10013,29248,10013-29248,23.21999,113.21749
10013,29249,10013-29249,23.21999,113.21749
10013,29361,10013-29361,23.23419,113.20547
10013,29362,10013-29362,23.23419,113.20547
10013,29363,10013-29363,23.23419,113.20547
10013,32774,10013-32774,23.20634,113.20305
10013,33061,10013-33061,23.20671,113.2245
10013,34427,10013-34427,23.23677,113.18579
10013,34428,10013-34428,23.23677,113.18579
10013,34429,10013-34429,23.23677,113.18579
10013,39637,10013-39637,23.21659,113.22049
10013,39638,10013-39638,23.21659,113.22049
10013,39639,10013-39639,23.21659,113.22049
10013,40224,10013-40224,23.20182,113.22211
10013,40225,10013-40225,23.20182,113.22211
10013,40226,10013-40226,23.20182,113.22211
10013,41837,10013-41837,23.22807,113.18666
10013,43204,10013-43204,23.23419,113.20547
10013,43291,10013-43291,23.21426,113.22666
10013,43887,10013-43887,23.22134,113.22125
10013,43888,10013-43888,23.22134,113.22125
10013,43889,10013-43889,23.22134,113.22125
10013,47021,10013-47021,23.21658,113.21626
10013,47022,10013-47022,23.21658,113.21626
10013,47023,10013-47023,23.21658,113.21626
10013,49431,10013-49431,23.24068,113.20393
10013,49432,10013-49432,23.24068,113.20393
10013,49433,10013-49433,23.24068,113.20393
10013,50854,10013-50854,23.20484,113.22322
10013,50855,10013-50855,23.20484,113.22322
10013,50856,10013-50856,23.20484,113.22322
10013,51057,10013-51057,23.2042,113.22674
10013,51058,10013-51058,23.2042,113.22674
10013,51059,10013-51059,23.2042,113.22674
10013,51364,10013-51364,23.21557,113.22582
10013,51724,10013-51724,23.22282,113.22218
10013,51725,10013-51725,23.22282,113.22218
10013,51726,10013-51726,23.22282,113.22218
10013,52214,10013-52214,23.22075,113.17748
10013,52401,10013-52401,23.24008,113.2416
10013,52402,10013-52402,23.24008,113.2416
10013,52403,10013-52403,23.24008,113.2416
10013,54924,10013-54924,23.2193,113.21029
10013,54925,10013-54925,23.2193,113.21029
10013,56021,10013-56021,23.2193,113.21029
