,lat,long,roleID
10036-59607,23.23679,113.29146999999999,5
10039-24043,23.525,113.59111000000001,5
10039-24042,23.525,113.59111000000001,5
10039-24041,23.525,113.59111000000001,5
10039-24046,23.48537,113.53753999999999,5
10039-24045,23.48537,113.53753999999999,5
10039-24044,23.48537,113.53753999999999,5
10036-50964,23.242638,113.305893,5
10036-50965,23.238895,113.302792,5
10036-50966,23.24064,113.300642,5
42260-8991,0.0,0.0,0
10030-51468,23.11692,113.24269,5
10030-51467,23.11692,113.24269,5
9734-54931,23.1493,113.24185,5
10041-11711,23.189410000000002,113.25223000000001,5
10309-11894,22.799143,113.39576699999999,5
9439-55384,23.17811,113.24401,5
10014-16341,23.142120000000002,113.24145,5
42288-4607,23.40889,113.94331000000001,0
42288-4606,23.40889,113.94331000000001,0
42266-22862,23.114253,113.28038500000001,5
42259-39771,23.136303,113.365172,5
42266-22861,23.114253,113.28038500000001,5
9432-16824,22.93816,113.389991,5
42288-4608,23.40889,113.94331000000001,0
9432-16826,22.929778,113.38578400000002,5
9435-57951,0.0,0.0,0
9435-57952,23.195284,113.55013600000001,5
9435-57953,23.198807000000002,113.551689,5
9492-31094,23.104789999999998,113.301,5
10323-59337,0.0,0.0,0
10320-47742,23.21922,113.26845,5
10320-47743,23.21922,113.26845,5
10320-47741,23.21922,113.26845,5
10007-24901,23.454122,113.175395,5
10007-24903,23.457523000000002,113.16743400000001,5
10007-24902,23.455934,113.16774099999999,5
10007-24905,23.455797,113.16925800000001,5
10327-29151,23.16035,113.3174,5
10007-24906,23.456504000000002,113.17081,5
42289-10146,23.77243,113.90568999999999,0
42288-15851,0.0,0.0,0
42288-15853,0.0,0.0,0
42288-15852,0.0,0.0,0
9492-48741,23.11109,113.29373000000001,5
10308-10762,23.281464,113.788152,5
9424-19487,23.103966,113.359101,5
10308-10761,23.282434,113.78680200000001,5
9437-57714,23.144886,113.25336100000001,5
42259-17201,0.0,0.0,0
10332-21895,22.847358,113.446402,5
